Candidate,Party,First_pref_count,First_pref_pct,Quota,Elected_on_Count,Status,Gender,Election_date,Electorate,number_of_candidates,seats_available,constituency_name,constituency_name_as_Gaeilge,quota,Outgoing,Seat
Tom Nolan,Fianna Fail,7098,0.1519,0.91,0,1,Male,1973-02-28,not available,10,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,7787,,
Kieran Crotty,Fine Gael,7343,0.1572,0.94,0,2,Male,1973-02-28,not available,10,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,7787,,
Desmond Governey,Fine Gael,6953,0.14880000000000002,0.89,0,3,Male,1973-02-28,not available,10,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,7787,,
Seamus Pattison,Labour,5300,0.1134,0.68,0,4,Male,1973-02-28,not available,10,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,7787,,
Jim Gibbons Snr,Fianna Fail,7128,0.15259999999999999,0.92,0,5,Male,1973-02-28,not available,10,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,7787,,
John McManamy,Labour,1488,0.0319,0.19,0,,Male,1973-02-28,not available,10,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,7787,,
Bob Aylward,Fianna Fail,6618,0.1417,0.85,0,,Male,1973-02-28,not available,10,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,7787,,
Liam Murphy,Fianna Fail,1205,0.0258,0.15,0,,Male,1973-02-28,not available,10,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,7787,,
Thomas Coogan,Fine Gael,2362,0.0506,0.30,0,,Male,1973-02-28,not available,10,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,7787,,
Michael Wall,Fine Gael,1222,0.0262,0.16,0,,Male,1973-02-28,not available,10,5,Carlow Kilkenny,Ceatharlach Cill Chainnigh,7787,,
Tom J Fitzpatrick,Fine Gael,7276,0.2536,1.01,0,1,Male,1973-02-28,37299,7,3,Cavan,(Ulster),7172,,
Paddy Smith,Fianna Fail,5979,0.2084,0.83,0,2,Male,1973-02-28,37299,7,3,Cavan,(Ulster),7172,,
John Wilson,Fianna Fail,3846,0.1341,0.54,0,3,Male,1973-02-28,37299,7,3,Cavan,(Ulster),7172,,
Patrick O'Reilly,Fine Gael,3459,0.1206,0.48,0,,Male,1973-02-28,37299,7,3,Cavan,(Ulster),7172,,
Seamus Dolan,Fianna Fail,3231,0.11259999999999999,0.45,0,,Male,1973-02-28,37299,7,3,Cavan,(Ulster),7172,,
David Coleman,Fine Gael,2828,0.0986,0.39,0,,Male,1973-02-28,37299,7,3,Cavan,(Ulster),7172,,
James Kelly,Non party/Independent,2068,0.0721,0.29,0,,Male,1973-02-28,37299,7,3,Cavan,(Ulster),7172,,
Sylvester Barrett,Fianna Fail,7203,0.2528,1.01,0,1,Male,1973-02-28,not available,6,3,Clare,An Clar,7124,,
Frank Taylor,Fine Gael,5330,0.18710000000000002,0.75,0,2,Male,1973-02-28,not available,6,3,Clare,An Clar,7124,,
Brendan Daly,Fianna Fail,5758,0.2021,0.81,0,3,Male,1973-02-28,not available,6,3,Clare,An Clar,7124,,
Michael Corley,Labour,1794,0.063,0.25,0,,Male,1973-02-28,not available,6,3,Clare,An Clar,7124,,
Martin Cahill,Fianna Fail,4576,0.1606,0.64,0,,Male,1973-02-28,not available,6,3,Clare,An Clar,7124,,
Michael Howard,Fine Gael,3832,0.13449999999999998,0.54,0,,Male,1973-02-28,not available,6,3,Clare,An Clar,7124,,
William Loughnane Snr,Fianna Fail,6956,0.2646,1.06,0,1,Male,1973-02-28,not available,7,3,Clare Galway South,(Munster),6572,,
Brigid Hogan O'Higgins,Fine Gael,5084,0.1934,0.77,0,2,Female,1973-02-28,not available,7,3,Clare Galway South,(Munster),6572,,
John Callanan,Fianna Fail,5005,0.19039999999999999,0.76,0,3,Male,1973-02-28,not available,7,3,Clare Galway South,(Munster),6572,,
Toddie Byrne,Fine Gael,2609,0.0993,0.40,0,,Male,1973-02-28,not available,7,3,Clare Galway South,(Munster),6572,,
Hugh Melvin,Fianna Fail,3072,0.11689999999999999,0.47,0,,Male,1973-02-28,not available,7,3,Clare Galway South,(Munster),6572,,
Patrick Bugler,Fine Gael,2273,0.08650000000000001,0.35,0,,Male,1973-02-28,not available,7,3,Clare Galway South,(Munster),6572,,
Norman Morgan,Non party/Independent,1288,0.049,0.20,0,,Male,1973-02-28,not available,7,3,Clare Galway South,(Munster),6572,,
Jack Lynch,Fianna Fail,12427,0.4594,1.84,0,1,Male,1973-02-28,not available,7,3,Cork City North,(Munster),6763,,
Seán French,Fianna Fail,2691,0.09949999999999999,0.40,0,2,Male,1973-02-28,not available,7,3,Cork City North,(Munster),6763,,
Liam Burke,Fine Gael,4624,0.1709,0.68,0,3,Male,1973-02-28,not available,7,3,Cork City North,(Munster),6763,,
Samuel Allen,Non party/Independent,2630,0.09720000000000001,0.39,0,,Male,1973-02-28,not available,7,3,Cork City North,(Munster),6763,,
Vincent O'Connell,Fine Gael,1916,0.0708,0.28,0,,Male,1973-02-28,not available,7,3,Cork City North,(Munster),6763,,
Patrick Kerrigan,Labour,2425,0.08960000000000001,0.36,0,,Male,1973-02-28,not available,7,3,Cork City North,(Munster),6763,,
Seán Twomey,Non party/Independent,338,0.0125,0.05,0,,Male,1973-02-28,not available,7,3,Cork City North,(Munster),6763,,
Pearse Wyse,Fianna Fail,10411,0.36229999999999996,1.45,0,1,Male,1973-02-28,not available,8,3,Cork City South,(Munster),7184,,
Gus A Healy,Fianna Fail,4836,0.16829999999999998,0.67,0,2,Male,1973-02-28,not available,8,3,Cork City South,(Munster),7184,,
Peter Barry,Fine Gael,6566,0.2285,0.91,0,3,Male,1973-02-28,not available,8,3,Cork City South,(Munster),7184,,
Timothy O'Sullivan,Non party/Independent,289,0.0101,0.04,0,,Male,1973-02-28,not available,8,3,Cork City South,(Munster),7184,,
Veronica Hartland,Non party/Independent,121,0.0042,0.02,0,,Female,1973-02-28,not available,8,3,Cork City South,(Munster),7184,,
Gerard Carroll,Non party/Independent,1162,0.0404,0.16,0,,Male,1973-02-28,not available,8,3,Cork City South,(Munster),7184,,
Robert Rice,Labour,2290,0.0797,0.32,0,,Male,1973-02-28,not available,8,3,Cork City South,(Munster),7184,,
Seán A O'Leary,Fine Gael,3057,0.10640000000000001,0.43,0,,Male,1973-02-28,not available,8,3,Cork City South,(Munster),7184,,
Thomas Meaney,Fianna Fail,10400,0.2564,1.28,0,1,Male,1973-02-28,not available,6,4,Cork Mid,(Munster),8114,,
Gene Fitzgerald,Fianna Fail,9584,0.23629999999999998,1.18,0,2,Male,1973-02-28,not available,6,4,Cork Mid,(Munster),8114,,
Donal Creed,Fine Gael,7728,0.1905,0.95,0,3,Male,1973-02-28,not available,6,4,Cork Mid,(Munster),8114,,
Eileen Desmond,Labour,6170,0.1521,0.76,0,4,Female,1973-02-28,not available,6,4,Cork Mid,(Munster),8114,,
Daniel O'Leary,Fine Gael,1055,0.026000000000000002,0.13,0,,Male,1973-02-28,not available,6,4,Cork Mid,(Munster),8114,,
Philip Burton,Fine Gael,5629,0.1388,0.69,0,,Male,1973-02-28,not available,6,4,Cork Mid,(Munster),8114,,
Jerry Cronin,Fianna Fail,9608,0.2403,1.20,0,1,Male,1973-02-28,not available,10,4,Cork North East,(Munster),7999,,
Dick Barry,Fine Gael,7188,0.1797,0.90,0,2,Male,1973-02-28,not available,10,4,Cork North East,(Munster),7999,,
Paddy Hegarty,Fine Gael,4066,0.1017,0.51,0,3,Male,1973-02-28,not available,10,4,Cork North East,(Munster),7999,,
Liam Ahern,Fianna Fail,5403,0.1351,0.68,0,4,Male,1973-02-28,not available,10,4,Cork North East,(Munster),7999,,
William Fennessy,Labour,1887,0.0472,0.24,0,,Male,1973-02-28,not available,10,4,Cork North East,(Munster),7999,,
Michael Broderick,Fine Gael,2994,0.07490000000000001,0.37,0,,Male,1973-02-28,not available,10,4,Cork North East,(Munster),7999,,
Noel Collins,Non party/Independent,1228,0.030699999999999998,0.15,0,,Male,1973-02-28,not available,10,4,Cork North East,(Munster),7999,,
Seán Brosnan,Fianna Fail,5029,0.1258,0.63,0,,Male,1973-02-28,not available,10,4,Cork North East,(Munster),7999,,
Cuthbert Kelly,Non party/Independent,100,0.0025,0.01,0,,Male,1973-02-28,not available,10,4,Cork North East,(Munster),7999,,
Joe Sherlock,Sinn Féin,2488,0.0622,0.31,0,,Male,1973-02-28,not available,10,4,Cork North East,(Munster),7999,,
John L O'Sullivan,Fine Gael,6420,0.2108,0.84,0,1,Male,1973-02-28,not available,5,3,Cork South West,Corcaigh Thiar Theas,7616,,
Michael Murphy,Labour,6597,0.21660000000000001,0.87,0,2,Male,1973-02-28,not available,5,3,Cork South West,Corcaigh Thiar Theas,7616,,
Flor Crowley,Fianna Fail,7251,0.23800000000000002,0.95,0,3,Male,1973-02-28,not available,5,3,Cork South West,Corcaigh Thiar Theas,7616,,
P J Sheehan,Fine Gael,4204,0.138,0.55,0,,Male,1973-02-28,not available,5,3,Cork South West,Corcaigh Thiar Theas,7616,,
Terence Sullivan,Fianna Fail,5989,0.1966,0.79,0,,Male,1973-02-28,not available,5,3,Cork South West,Corcaigh Thiar Theas,7616,,
Neil T Blaney,Independent Fianna Fail,8368,0.2932,1.17,0,1,Male,1973-02-28,not available,7,3,Donegal North East,Dun na nGall Thoir Thuaidh,7136,,
Liam Cunningham,Fianna Fail,6704,0.2349,0.94,0,2,Male,1973-02-28,not available,7,3,Donegal North East,Dun na nGall Thoir Thuaidh,7136,,
Paddy Harte Snr,Fine Gael,5480,0.192,0.77,0,3,Male,1973-02-28,not available,7,3,Donegal North East,Dun na nGall Thoir Thuaidh,7136,,
Daniel MacCarron,Non party/Independent,205,0.0072,0.03,0,,Male,1973-02-28,not available,7,3,Donegal North East,Dun na nGall Thoir Thuaidh,7136,,
John Harkin,Fianna Fail,1191,0.0417,0.17,0,,Male,1973-02-28,not available,7,3,Donegal North East,Dun na nGall Thoir Thuaidh,7136,,
Bernard McGlinchey,Fianna Fail,2537,0.0889,0.36,0,,Male,1973-02-28,not available,7,3,Donegal North East,Dun na nGall Thoir Thuaidh,7136,,
Bertie Boggs,Fine Gael,4056,0.1421,0.57,0,,Male,1973-02-28,not available,7,3,Donegal North East,Dun na nGall Thoir Thuaidh,7136,,
Vivion de Valera,Fianna Fail,6491,0.2133,1.07,0,1,Male,1973-02-28,46775,11,4,Dublin Central,Baile Atha Cliath Lar,6087,,
Frank Cluskey,Labour,3864,0.127,0.63,0,2,Male,1973-02-28,46775,11,4,Dublin Central,Baile Atha Cliath Lar,6087,,
Tom J Fitzpatrick,Fianna Fail,3807,0.1251,0.63,0,3,Male,1973-02-28,46775,11,4,Dublin Central,Baile Atha Cliath Lar,6087,,
Maurice Dockrell,Fine Gael,4308,0.1416,0.71,0,4,Male,1973-02-28,46775,11,4,Dublin Central,Baile Atha Cliath Lar,6087,,
Griff Cashman,Labour,1763,0.0579,0.29,0,,Male,1973-02-28,46775,11,4,Dublin Central,Baile Atha Cliath Lar,6087,,
Michael Keating,Fine Gael,1796,0.059000000000000004,0.30,0,,Male,1973-02-28,46775,11,4,Dublin Central,Baile Atha Cliath Lar,6087,,
Thomas Leonard,Fianna Fail,3221,0.1058,0.53,0,,Male,1973-02-28,46775,11,4,Dublin Central,Baile Atha Cliath Lar,6087,,
Alexis Fitzgerald Jnr,Fine Gael,2198,0.0722,0.36,0,,Male,1973-02-28,46775,11,4,Dublin Central,Baile Atha Cliath Lar,6087,,
James Mooney,Labour,1644,0.054000000000000006,0.27,0,,Male,1973-02-28,46775,11,4,Dublin Central,Baile Atha Cliath Lar,6087,,
Michael O'Riordan,Non party/Independent,466,0.015300000000000001,0.08,0,,Male,1973-02-28,46775,11,4,Dublin Central,Baile Atha Cliath Lar,6087,,
Gerard Brady,Non party/Independent,876,0.0288,0.14,0,,Male,1973-02-28,46775,11,4,Dublin Central,Baile Atha Cliath Lar,6087,,
Ray Burke,Fianna Fail,10652,0.24059999999999998,1.20,0,1,Male,1973-02-28,not available,10,4,Dublin County North,Baile Atha Cliath,8854,,
Justin Keating,Labour,5570,0.1258,0.63,0,2,Male,1973-02-28,not available,10,4,Dublin County North,Baile Atha Cliath,8854,,
Seán Walsh,Fianna Fail,5381,0.1216,0.61,0,3,Male,1973-02-28,not available,10,4,Dublin County North,Baile Atha Cliath,8854,,
Mark Clinton,Fine Gael,5730,0.1294,0.65,0,4,Male,1973-02-28,not available,10,4,Dublin County North,Baile Atha Cliath,8854,,
Michael Gannon,Labour,3215,0.0726,0.36,0,,Male,1973-02-28,not available,10,4,Dublin County North,Baile Atha Cliath,8854,,
Maire Walsh,Labour,2226,0.050300000000000004,0.25,0,,Female,1973-02-28,not available,10,4,Dublin County North,Baile Atha Cliath,8854,,
Denis Farrell,Fine Gael,1253,0.028300000000000002,0.14,0,,Male,1973-02-28,not available,10,4,Dublin County North,Baile Atha Cliath,8854,,
Des Foley,Aontacht Eireann (Irish Unity),3387,0.0765,0.38,0,,Male,1973-02-28,not available,10,4,Dublin County North,Baile Atha Cliath,8854,,
John Boland,Fine Gael,5263,0.1189,0.59,0,,Male,1973-02-28,not available,10,4,Dublin County North,Baile Atha Cliath,8854,,
Seán Dungan,Fianna Fail,1588,0.0359,0.18,0,,Male,1973-02-28,not available,10,4,Dublin County North,Baile Atha Cliath,8854,,
Dick Burke,Fine Gael,9104,0.261,1.04,0,1,Male,1973-02-28,not available,9,3,Dublin County South,Baile Atha Cliath,8722,TD,
Larry McMahon,Fine Gael,3627,0.10400000000000001,0.42,0,2,Male,1973-02-28,not available,9,3,Dublin County South,Baile Atha Cliath,8722,,
Ruairi Brugha,Fianna Fail,6361,0.18230000000000002,0.73,0,3,Male,1973-02-28,not available,9,3,Dublin County South,Baile Atha Cliath,8722,,
Donal Lowry,Fine Gael,2103,0.0603,0.24,0,,Male,1973-02-28,not available,9,3,Dublin County South,Baile Atha Cliath,8722,,
Damien Murray,Fianna Fail,1950,0.0559,0.22,0,,Male,1973-02-28,not available,9,3,Dublin County South,Baile Atha Cliath,8722,,
Malachi Burke,Labour,2169,0.0622,0.25,0,,Male,1973-02-28,not available,9,3,Dublin County South,Baile Atha Cliath,8722,,
Kevin Boland,Aontacht Eireann (Irish Unity),2142,0.061399999999999996,0.25,0,,Male,1973-02-28,not available,9,3,Dublin County South,Baile Atha Cliath,8722,,
Jimmy Murphy,Fianna Fail,4345,0.1246,0.50,0,,Male,1973-02-28,not available,9,3,Dublin County South,Baile Atha Cliath,8722,,
Mervyn Taylor,Labour,3083,0.08839999999999999,0.35,0,,Male,1973-02-28,not available,9,3,Dublin County South,Baile Atha Cliath,8722,,
George Colley,Fianna Fail,10263,0.29760000000000003,1.49,0,1,Male,1973-02-28,not available,12,4,Dublin North Central,Baile Atha Cliath Thuaidh Lar,6897,TD,
Michael O'Leary,Labour,5795,0.168,0.84,0,2,Male,1973-02-28,not available,12,4,Dublin North Central,Baile Atha Cliath Thuaidh Lar,6897,TD,
Luke Belton,Fine Gael,5624,0.1631,0.82,0,3,Male,1973-02-28,not available,12,4,Dublin North Central,Baile Atha Cliath Thuaidh Lar,6897,,
Celia Lynch,Fianna Fail,3025,0.0877,0.44,0,4,Female,1973-02-28,not available,12,4,Dublin North Central,Baile Atha Cliath Thuaidh Lar,6897,,
Seoirse Dearle,Labour,345,0.01,0.05,0,,Male,1973-02-28,not available,12,4,Dublin North Central,Baile Atha Cliath Thuaidh Lar,6897,,
Alice Glenn,Fine Gael,1240,0.036000000000000004,0.18,0,,Female,1973-02-28,not available,12,4,Dublin North Central,Baile Atha Cliath Thuaidh Lar,6897,,
William Cumiskey,Labour,1106,0.0321,0.16,0,,Male,1973-02-28,not available,12,4,Dublin North Central,Baile Atha Cliath Thuaidh Lar,6897,,
John Kenny,Fianna Fail,1274,0.0369,0.18,0,,Male,1973-02-28,not available,12,4,Dublin North Central,Baile Atha Cliath Thuaidh Lar,6897,,
Mairin de Burca,Sinn Féin,1667,0.0483,0.24,0,,Female,1973-02-28,not available,12,4,Dublin North Central,Baile Atha Cliath Thuaidh Lar,6897,,
Seán Loftus,Non party/Independent,578,0.0168,0.08,0,,Male,1973-02-28,not available,12,4,Dublin North Central,Baile Atha Cliath Thuaidh Lar,6897,,
Patrick Lindsay,Fine Gael,3078,0.08929999999999999,0.45,0,,Male,1973-02-28,not available,12,4,Dublin North Central,Baile Atha Cliath Thuaidh Lar,6897,,
Noirin Butler,Non party/Independent,489,0.014199999999999999,0.07,0,,Female,1973-02-28,not available,12,4,Dublin North Central,Baile Atha Cliath Thuaidh Lar,6897,,
Charles Haughey,Fianna Fail,12901,0.30079999999999996,1.50,0,1,Male,1973-02-28,not available,10,4,Dublin North East,Baile Atha Cliath Thoir Thuaidh,8578,,
Conor Cruise O'Brien,Labour,7774,0.1813,0.91,0,2,Male,1973-02-28,not available,10,4,Dublin North East,Baile Atha Cliath Thoir Thuaidh,8578,,
Paddy Belton,Fine Gael,7771,0.1812,0.91,0,3,Male,1973-02-28,not available,10,4,Dublin North East,Baile Atha Cliath Thoir Thuaidh,8578,,
Eugene Timmons,Fianna Fail,3358,0.0783,0.39,0,4,Male,1973-02-28,not available,10,4,Dublin North East,Baile Atha Cliath Thoir Thuaidh,8578,,
Joe O'Connor,Labour,1451,0.0338,0.17,0,,Male,1973-02-28,not available,10,4,Dublin North East,Baile Atha Cliath Thoir Thuaidh,8578,,
Timothy Killeen,Fianna Fail,2414,0.056299999999999996,0.28,0,,Male,1973-02-28,not available,10,4,Dublin North East,Baile Atha Cliath Thoir Thuaidh,8578,,
James Kelly,Fine Gael,1678,0.0391,0.20,0,,Male,1973-02-28,not available,10,4,Dublin North East,Baile Atha Cliath Thoir Thuaidh,8578,,
Christopher Hoey,Fine Gael,1110,0.0259,0.13,0,,Male,1973-02-28,not available,10,4,Dublin North East,Baile Atha Cliath Thoir Thuaidh,8578,,
Paddy Dunne,Labour,3106,0.0724,0.36,0,,Male,1973-02-28,not available,10,4,Dublin North East,Baile Atha Cliath Thoir Thuaidh,8578,,
Michael Gleeson,Non party/Independent,1325,0.030899999999999997,0.15,0,,Male,1973-02-28,not available,10,4,Dublin North East,Baile Atha Cliath Thoir Thuaidh,8578,,
Jim Tunney,Fianna Fail,7302,0.23149999999999998,1.16,0,1,Male,1973-02-28,not available,10,4,Dublin North West,Baile Atha Cliath Thiar Thuaidh,6310,,
Hugh Byrne,Fine Gael,5616,0.17800000000000002,0.89,0,2,Male,1973-02-28,not available,10,4,Dublin North West,Baile Atha Cliath Thiar Thuaidh,6310,,
David A Thornley,Labour,5023,0.1592,0.80,0,3,Male,1973-02-28,not available,10,4,Dublin North West,Baile Atha Cliath Thiar Thuaidh,6310,,
Richard Gogan,Fianna Fail,4723,0.1497,0.75,0,4,Male,1973-02-28,not available,10,4,Dublin North West,Baile Atha Cliath Thiar Thuaidh,6310,,
Fergus Keely,Fianna Fail,1999,0.0634,0.32,0,,Male,1973-02-28,not available,10,4,Dublin North West,Baile Atha Cliath Thiar Thuaidh,6310,,
Patrick McDonnell,Fine Gael,1457,0.0462,0.23,0,,Male,1973-02-28,not available,10,4,Dublin North West,Baile Atha Cliath Thiar Thuaidh,6310,,
James Somers,Labour,1086,0.0344,0.17,0,,Male,1973-02-28,not available,10,4,Dublin North West,Baile Atha Cliath Thiar Thuaidh,6310,,
Michael McEvoy,Labour,1666,0.0528,0.26,0,,Male,1973-02-28,not available,10,4,Dublin North West,Baile Atha Cliath Thiar Thuaidh,6310,,
Peter Sutherland,Fine Gael,1969,0.062400000000000004,0.31,0,,Male,1973-02-28,not available,10,4,Dublin North West,Baile Atha Cliath Thiar Thuaidh,6310,,
Fintan Murray,Non party/Independent,705,0.0223,0.11,0,,Male,1973-02-28,not available,10,4,Dublin North West,Baile Atha Cliath Thiar Thuaidh,6310,,
Richie Ryan,Fine Gael,7210,0.20579999999999998,1.03,0,1,Male,1973-02-28,not available,11,4,Dublin South Central,Baile Atha Cliath Theas Lar,7008,,
Philip A Brady,Fianna Fail,6564,0.1873,0.94,0,2,Male,1973-02-28,not available,11,4,Dublin South Central,Baile Atha Cliath Theas Lar,7008,,
Ben Briscoe,Fianna Fail,4750,0.1356,0.68,0,3,Male,1973-02-28,not available,11,4,Dublin South Central,Baile Atha Cliath Theas Lar,7008,,
John M Kelly,Fine Gael,5064,0.1445,0.72,0,4,Male,1973-02-28,not available,11,4,Dublin South Central,Baile Atha Cliath Theas Lar,7008,,
Louis Maguire,Non party/Independent,775,0.022099999999999998,0.11,0,,Male,1973-02-28,not available,11,4,Dublin South Central,Baile Atha Cliath Theas Lar,7008,,
Michael McShane,Fine Gael,1040,0.0297,0.15,0,,Male,1973-02-28,not available,11,4,Dublin South Central,Baile Atha Cliath Theas Lar,7008,,
Gerard Buchanan,Fianna Fail,2195,0.0626,0.31,0,,Male,1973-02-28,not available,11,4,Dublin South Central,Baile Atha Cliath Theas Lar,7008,,
Peigin Doyle,Sinn Féin,1521,0.0434,0.22,0,,Female,1973-02-28,not available,11,4,Dublin South Central,Baile Atha Cliath Theas Lar,7008,,
Michael Collins,Labour,2136,0.061,0.30,0,,Male,1973-02-28,not available,11,4,Dublin South Central,Baile Atha Cliath Theas Lar,7008,,
Dermot O'Rourke,Labour,1580,0.0451,0.23,0,,Male,1973-02-28,not available,11,4,Dublin South Central,Baile Atha Cliath Theas Lar,7008,,
John O'Donovan,Labour,2203,0.0629,0.31,0,,Male,1973-02-28,not available,11,4,Dublin South Central,Baile Atha Cliath Theas Lar,7008,,
Garret Fitzgerald,Fine Gael,7958,0.3114,1.25,0,1,Male,1973-02-28,not available,9,3,Dublin South East,Baile Atha Cliath Thoir Theas,6389,,
Seán Moore,Fianna Fail,5354,0.2095,0.84,0,2,Male,1973-02-28,not available,9,3,Dublin South East,Baile Atha Cliath Thoir Theas,6389,,
Fergus O'Brien,Fine Gael,1945,0.0761,0.30,0,3,Male,1973-02-28,not available,9,3,Dublin South East,Baile Atha Cliath Thoir Theas,6389,,
Patrick J Cummins,Fianna Fail,3329,0.1303,0.52,0,,Male,1973-02-28,not available,9,3,Dublin South East,Baile Atha Cliath Thoir Theas,6389,,
Ignatius O'Reilly,Non party/Independent,90,0.0034999999999999996,0.01,0,,Male,1973-02-28,not available,9,3,Dublin South East,Baile Atha Cliath Thoir Theas,6389,,
Andy Smith,Sinn Féin,1082,0.042300000000000004,0.17,0,,Male,1973-02-28,not available,9,3,Dublin South East,Baile Atha Cliath Thoir Theas,6389,,
Peter Prendergast,Fine Gael,1312,0.0513,0.21,0,,Male,1973-02-28,not available,9,3,Dublin South East,Baile Atha Cliath Thoir Theas,6389,,
Patrick Norton,Fianna Fail,1556,0.060899999999999996,0.24,0,,Male,1973-02-28,not available,9,3,Dublin South East,Baile Atha Cliath Thoir Theas,6389,,
Ruairi Quinn,Labour,2927,0.11449999999999999,0.46,0,,Male,1973-02-28,not available,9,3,Dublin South East,Baile Atha Cliath Thoir Theas,6389,,
Dr John O'Connell,Labour,9865,0.3271,1.64,0,1,Male,1973-02-28,not available,10,4,Dublin South West,Baile Atha Cliath Thiar Theas,6033,,
Declan Costello,Fine Gael,4633,0.1536,0.77,0,2,Male,1973-02-28,not available,10,4,Dublin South West,Baile Atha Cliath Thiar Theas,6033,,
Joe Dowling,Fianna Fail,3939,0.1306,0.65,0,3,Male,1973-02-28,not available,10,4,Dublin South West,Baile Atha Cliath Thiar Theas,6033,,
Noel Lemass,Fianna Fail,4705,0.156,0.78,0,4,Male,1973-02-28,not available,10,4,Dublin South West,Baile Atha Cliath Thiar Theas,6033,,
Seán Sherwin,Non party/Independent,1340,0.0444,0.22,0,,Male,1973-02-28,not available,10,4,Dublin South West,Baile Atha Cliath Thiar Theas,6033,,
Jim Mitchell,Fine Gael,1194,0.039599999999999996,0.20,0,,Male,1973-02-28,not available,10,4,Dublin South West,Baile Atha Cliath Thiar Theas,6033,,
James Spooner,Sinn Féin,972,0.0322,0.16,0,,Male,1973-02-28,not available,10,4,Dublin South West,Baile Atha Cliath Thiar Theas,6033,,
Patrick O'Mahony,Labour,541,0.0179,0.09,0,,Male,1973-02-28,not available,10,4,Dublin South West,Baile Atha Cliath Thiar Theas,6033,,
Pat Sweeney,Labour,369,0.012199999999999999,0.06,0,,Male,1973-02-28,not available,10,4,Dublin South West,Baile Atha Cliath Thiar Theas,6033,,
Thomas Dalton,Fianna Fail,2603,0.0863,0.43,0,,Male,1973-02-28,not available,10,4,Dublin South West,Baile Atha Cliath Thiar Theas,6033,,
Liam Cosgrave Snr,Fine Gael,13054,0.31079999999999997,1.55,0,1,Male,1973-02-28,not available,9,4,Dun Laoghaire Rathdown,(Leinster),8402,,
David Andrews,Fianna Fail,10926,0.2601,1.30,0,2,Male,1973-02-28,not available,9,4,Dun Laoghaire Rathdown,(Leinster),8402,TD,
Barry Desmond,Labour,5768,0.1373,0.69,0,3,Male,1973-02-28,not available,9,4,Dun Laoghaire Rathdown,(Leinster),8402,,
Percy Dockrell,Fine Gael,2206,0.0525,0.26,0,4,Male,1973-02-28,not available,9,4,Dun Laoghaire Rathdown,(Leinster),8402,,
Neville Keery,Fianna Fail,3642,0.0867,0.43,0,,Male,1973-02-28,not available,9,4,Dun Laoghaire Rathdown,(Leinster),8402,,
Flor O'Mahony,Labour,2072,0.0493,0.25,0,,Male,1973-02-28,not available,9,4,Dun Laoghaire Rathdown,(Leinster),8402,,
Eric Leonard,Fianna Fail,1209,0.0288,0.14,0,,Male,1973-02-28,not available,9,4,Dun Laoghaire Rathdown,(Leinster),8402,,
Vincent MacDowell,Non party/Independent,591,0.0141,0.07,0,,Male,1973-02-28,not available,9,4,Dun Laoghaire Rathdown,(Leinster),8402,,
Michael Carroll,Fine Gael,2537,0.0604,0.30,0,,Male,1973-02-28,not available,9,4,Dun Laoghaire Rathdown,(Leinster),8402,,
John F Donnellan,Fine Gael,6636,0.2531,1.01,0,1,Male,1973-02-28,not available,6,3,Galway North East,(Connaught),6555,,
Tom Hussey,Fianna Fail,5340,0.20370000000000002,0.81,0,2,Male,1973-02-28,not available,6,3,Galway North East,(Connaught),6555,,
Michael F Kitt,Fianna Fail,5523,0.2107,0.84,0,3,Male,1973-02-28,not available,6,3,Galway North East,(Connaught),6555,,
Michael Mitchell,Fine Gael,2269,0.08650000000000001,0.35,0,,Male,1973-02-28,not available,6,3,Galway North East,(Connaught),6555,,
Mark Killilea Jnr,Fianna Fail,4336,0.1654,0.66,0,,Male,1973-02-28,not available,6,3,Galway North East,(Connaught),6555,,
Michael Ryan,Fine Gael,2113,0.0806,0.32,0,,Male,1973-02-28,not available,6,3,Galway North East,(Connaught),6555,,
Bobby Molloy,Fianna Fail,7028,0.28309999999999996,1.13,0,1,Male,1973-02-28,not available,9,3,Galway West,Gaillimh Thiar,6207,,
John Geoghegan,Fianna Fail,4782,0.19260000000000002,0.77,0,2,Male,1973-02-28,not available,9,3,Galway West,Gaillimh Thiar,6207,,
Fintan Coogan Snr,Fine Gael,3410,0.1374,0.55,0,3,Male,1973-02-28,not available,9,3,Galway West,Gaillimh Thiar,6207,,
Seamus Kyne,Fianna Fail,1573,0.0634,0.25,0,,Male,1973-02-28,not available,9,3,Galway West,Gaillimh Thiar,6207,,
Irene King,Non party/Independent,416,0.0168,0.07,0,,Female,1973-02-28,not available,9,3,Galway West,Gaillimh Thiar,6207,,
John Mannion Jnr,Fine Gael,3156,0.12710000000000002,0.51,0,,Male,1973-02-28,not available,9,3,Galway West,Gaillimh Thiar,6207,,
Seosamh O Tuairisg,Non party/Independent,703,0.028300000000000002,0.11,0,,Male,1973-02-28,not available,9,3,Galway West,Gaillimh Thiar,6207,,
